tick,agent_id,agent_type,x,y,rank
10,10000023,3,7,6,0
10,10000024,3,8,9,0
10,10000025,3,14,17,0
10,10000026,3,1,18,0
10,10000027,3,10,7,0
10,10000028,3,13,11,0
10,10000029,3,5,6,0
10,10000030,3,14,11,0
10,10000031,3,10,6,0
10,10000032,3,15,7,0
10,10000033,3,6,17,0
10,10000034,3,5,4,0
10,10000035,3,14,12,0
10,10000036,4,0,1,0
10,10000037,4,7,16,0
10,10000038,4,8,15,0
10,10000039,4,6,4,0
10,10000040,4,15,17,0
10,10000041,4,1,1,0
10,10000042,4,13,6,0
10,10000043,4,11,3,0
10,10000044,4,17,9,0
10,10000045,4,17,15,0
10,10000046,4,14,4,0
10,10000047,4,15,1,0
10,10000048,4,11,8,0
10,10000049,4,19,3,0
10,10000050,4,18,1,0
10,10000051,4,12,11,0
10,10000052,4,17,5,0
10,10000053,4,18,13,0
10,10000054,4,17,3,0
10,10000055,4,15,18,0
10,10000056,4,0,7,0
10,10000057,4,12,2,0
10,10000058,4,10,12,0
10,10000059,4,9,19,0
10,10000060,4,3,9,0
10,10000061,4,0,8,0
10,10000062,4,18,12,0
10,10000063,4,6,19,0
10,10000064,4,0,9,0
10,10000065,4,16,15,0
10,10000066,4,8,10,0
10,10000067,4,4,15,0
10,10000068,4,1,8,0
10,10000069,4,5,14,0
10,10000070,4,14,14,0
10,10000071,4,18,18,0
10,10000072,4,3,2,0
10,10000073,4,2,14,0
10,10000074,4,19,18,0
10,10000075,4,2,17,0
10,10000076,4,1,19,0
10,10000077,4,7,2,0
10,10000078,4,10,19,0
10,10000079,4,4,9,0
10,10000080,4,17,16,0
10,10000081,4,2,18,0
10,10000082,4,19,5,0
10,10000083,4,13,8,0
10,10000084,4,13,0,0
10,10000085,4,16,14,0
10,10000086,4,3,12,0
10,10000087,4,10,0,0
11,10000000,0,12,10,0
11,10000001,0,6,0,0
11,10000002,0,0,3,0
11,10000003,0,12,18,0
11,10000004,0,12,19,0
11,10000005,0,11,18,0
11,10000006,0,16,13,0
11,10000007,0,7,17,0
11,10000008,0,0,15,0
11,10000009,0,16,3,0
11,10000010,0,17,0,0
11,10000011,0,1,5,0
11,10000012,0,8,8,0
11,10000013,0,0,2,0
11,10000014,0,13,10,0
11,10000015,0,5,12,0
11,10000016,0,7,9,0
11,10000017,0,16,19,0
11,10000018,0,13,19,0
11,10000019,0,14,7,0
11,10000020,3,17,2,0
11,10000021,3,11,14,0
11,10000022,3,16,10,0
11,10000023,3,7,6,0
11,10000024,3,8,9,0
11,10000025,3,14,17,0
11,10000026,3,1,18,0
11,10000027,3,10,7,0
11,10000028,3,13,11,0
11,10000029,3,5,6,0
11,10000030,3,14,11,0
11,10000031,3,10,6,0
11,10000032,3,15,7,0
11,10000033,3,6,17,0
11,10000034,3,5,4,0
11,10000035,3,14,12,0
11,10000036,4,0,1,0
11,10000037,4,7,16,0
11,10000038,4,8,15,0
11,10000039,4,6,4,0
11,10000040,4,15,17,0
11,10000041,4,1,1,0
11,10000042,4,13,6,0
11,10000043,4,11,3,0
11,10000044,4,17,9,0
11,10000045,4,17,15,0
11,10000046,4,14,4,0
11,10000047,4,15,1,0
11,10000048,4,11,8,0
11,10000049,4,19,3,0
11,10000050,4,18,1,0
11,10000051,4,12,11,0
11,10000052,4,17,5,0
11,10000053,4,18,13,0
11,10000054,4,17,3,0
11,10000055,4,15,18,0
11,10000056,4,0,7,0
11,10000057,4,12,2,0
11,10000058,4,10,12,0
11,10000059,4,9,19,0
11,10000060,4,3,9,0
11,10000061,4,0,8,0
11,10000062,4,18,12,0
11,10000063,4,6,19,0
11,10000064,4,0,9,0
11,10000065,4,16,15,0
11,10000066,4,8,10,0
11,10000067,4,4,15,0
11,10000068,4,1,8,0
11,10000069,4,5,14,0
11,10000070,4,14,14,0
11,10000071,4,18,18,0
11,10000072,4,3,2,0
11,10000073,4,2,14,0
11,10000074,4,19,18,0
11,10000075,4,2,17,0
11,10000076,4,1,19,0
11,10000077,4,7,2,0
11,10000078,4,10,19,0
11,10000079,4,4,9,0
11,10000080,4,17,16,0
11,10000081,4,2,18,0
11,10000082,4,19,5,0
11,10000083,4,13,8,0
11,10000084,4,13,0,0
11,10000085,4,16,14,0
11,10000086,4,3,12,0
11,10000087,4,10,0,0
12,10000000,0,12,10,0
12,10000001,0,6,0,0
12,10000002,0,0,3,0
12,10000003,0,12,18,0
12,10000004,0,12,19,0
12,10000005,0,11,18,0
12,10000006,0,16,13,0
12,10000007,0,7,17,0
12,10000008,0,0,15,0
12,10000009,0,16,3,0
12,10000010,0,17,0,0
12,10000011,0,1,5,0
12,10000012,0,8,8,0
12,10000013,0,0,2,0
12,10000014,0,13,10,0
12,10000015,0,5,12,0
12,10000016,0,7,9,0
12,10000017,0,16,19,0
12,10000018,0,13,19,0
12,10000019,0,14,7,0
12,10000020,3,17,2,0
12,10000021,3,11,14,0
12,10000022,3,16,10,0
12,10000023,3,7,6,0
