tick,agent_id,is_activated,rank
1,10000020,False,0
1,10000021,False,0
1,10000022,False,0
1,10000023,False,0
1,10000024,False,0
1,10000025,False,0
1,10000026,False,0
1,10000027,False,0
1,10000028,False,0
1,10000029,False,0
1,10000030,False,0
1,10000031,False,0
1,10000032,False,0
1,10000033,False,0
1,10000034,False,0
1,10000035,False,0
2,10000020,False,0
2,10000021,False,0
2,10000022,False,0
2,10000023,False,0
2,10000024,False,0
2,10000025,False,0
2,10000026,False,0
2,10000027,False,0
2,10000028,False,0
2,10000029,False,0
2,10000030,False,0
2,10000031,False,0
2,10000032,False,0
2,10000033,False,0
2,10000034,False,0
2,10000035,False,0
3,10000020,False,0
3,10000021,False,0
3,10000022,False,0
3,10000023,False,0
3,10000024,False,0
3,10000025,False,0
3,10000026,False,0
3,10000027,False,0
3,10000028,False,0
3,10000029,False,0
3,10000030,False,0
3,10000031,False,0
3,10000032,False,0
3,10000033,False,0
3,10000034,False,0
3,10000035,False,0
4,10000020,False,0
4,10000021,False,0
4,10000022,False,0
4,10000023,False,0
4,10000024,False,0
4,10000025,False,0
4,10000026,False,0
4,10000027,False,0
4,10000028,False,0
4,10000029,False,0
4,10000030,False,0
4,10000031,False,0
4,10000032,False,0
4,10000033,False,0
4,10000034,False,0
4,10000035,False,0
5,10000020,False,0
5,10000021,False,0
5,10000022,False,0
5,10000023,False,0
5,10000024,False,0
5,10000025,False,0
5,10000026,False,0
5,10000027,False,0
5,10000028,False,0
5,10000029,False,0
5,10000030,False,0
5,10000031,False,0
5,10000032,False,0
5,10000033,False,0
5,10000034,False,0
5,10000035,False,0
6,10000020,False,0
6,10000021,False,0
6,10000022,False,0
6,10000023,False,0
6,10000024,False,0
6,10000025,False,0
6,10000026,False,0
6,10000027,False,0
6,10000028,False,0
6,10000029,False,0
6,10000030,False,0
6,10000031,False,0
6,10000032,False,0
6,10000033,False,0
6,10000034,False,0
6,10000035,False,0
7,10000020,False,0
7,10000021,False,0
7,10000022,False,0
7,10000023,False,0
7,10000024,False,0
7,10000025,False,0
7,10000026,False,0
7,10000027,False,0
7,10000028,False,0
7,10000029,False,0
7,10000030,False,0
7,10000031,False,0
7,10000032,False,0
7,10000033,False,0
7,10000034,False,0
7,10000035,False,0
8,10000020,False,0
8,10000021,False,0
8,10000022,False,0
8,10000023,False,0
8,10000024,False,0
8,10000025,False,0
8,10000026,False,0
8,10000027,False,0
8,10000028,False,0
8,10000029,False,0
8,10000030,False,0
8,10000031,False,0
8,10000032,False,0
8,10000033,False,0
8,10000034,False,0
8,10000035,False,0
