tick,agent_id,is_alive,is_alpha,num_alpha,num_misfolded,alpha_ticks,rank
8,10000007,True,True,849,475,3,0
8,10000008,True,False,1188,0,0,0
8,10000009,True,True,1362,739,2,0
8,10000010,True,True,977,804,6,0
8,10000011,True,False,1179,0,0,0
8,10000012,True,False,1136,0,0,0
8,10000013,True,False,819,0,0,0
8,10000014,True,False,805,0,0,0
8,10000015,True,True,1367,1017,5,0
8,10000016,True,False,1334,0,0,0
8,10000017,True,False,1498,0,0,0
8,10000018,True,False,1065,0,0,0
8,10000019,True,False,1255,0,0,0
9,10000000,True,True,1395,0,0,0
9,10000001,True,False,988,0,0,0
9,10000002,True,False,852,0,0,0
9,10000003,True,False,1369,0,0,0
9,10000004,True,False,1152,0,0,0
9,10000005,True,True,1362,647,2,0
9,10000006,True,False,994,0,0,0
9,10000007,True,True,874,590,4,0
9,10000008,True,False,1188,0,0,0
9,10000009,True,True,1375,882,3,0
9,10000010,True,True,1006,806,7,0
9,10000011,True,False,1179,0,0,0
9,10000012,True,False,1136,0,0,0
9,10000013,True,False,819,0,0,0
9,10000014,True,False,805,0,0,0
9,10000015,True,True,1380,910,6,0
9,10000016,True,False,1334,0,0,0
9,10000017,True,False,1498,0,0,0
9,10000018,True,False,1065,0,0,0
9,10000019,True,False,1255,0,0,0
10,10000000,True,True,1436,544,1,0
10,10000001,True,False,988,0,0,0
10,10000002,True,False,852,0,0,0
10,10000003,True,False,1369,0,0,0
10,10000004,True,False,1152,0,0,0
10,10000005,True,True,1402,782,3,0
10,10000006,True,False,994,0,0,0
10,10000007,True,True,900,564,5,0
10,10000008,True,False,1188,0,0,0
10,10000009,True,True,1388,877,4,0
10,10000010,True,True,1036,700,8,0
10,10000011,True,False,1179,0,0,0
10,10000012,True,False,1136,0,0,0
10,10000013,True,False,819,0,0,0
10,10000014,True,False,805,0,0,0
10,10000015,True,True,1393,834,7,0
10,10000016,True,True,1334,0,0,0
10,10000017,True,False,1498,0,0,0
10,10000018,True,False,1065,0,0,0
10,10000019,True,False,1255,0,0,0
11,10000000,True,True,1450,774,2,0
11,10000001,True,False,988,0,0,0
11,10000002,True,False,852,0,0,0
11,10000003,True,False,1369,0,0,0
11,10000004,True,False,1152,0,0,0
11,10000005,True,True,1444,1020,4,0
11,10000006,True,False,994,0,0,0
11,10000007,True,True,918,619,6,0
11,10000008,True,False,1188,0,0,0
11,10000009,True,True,1415,898,5,0
11,10000010,True,True,1046,663,9,0
11,10000011,True,False,1179,0,0,0
11,10000012,True,False,1136,0,0,0
11,10000013,True,False,819,0,0,0
11,10000014,True,False,805,0,0,0
11,10000015,True,True,1420,983,8,0
11,10000016,True,True,1360,431,1,0
11,10000017,True,False,1498,0,0,0
11,10000018,True,False,1065,0,0,0
11,10000019,True,False,1255,0,0,0
12,10000000,True,True,1479,786,3,0
12,10000001,True,False,988,0,0,0
12,10000002,True,False,852,0,0,0
12,10000003,True,False,1369,0,0,0
12,10000004,True,False,1152,0,0,0
12,10000005,True,True,1472,921,5,0
12,10000006,True,False,994,0,0,0
12,10000007,True,True,927,596,7,0
12,10000008,True,False,1188,0,0,0
12,10000009,True,True,1429,1089,6,0
12,10000010,True,True,1077,686,10,0
12,10000011,True,False,1179,0,0,0
12,10000012,True,False,1136,0,0,0
12,10000013,True,False,819,0,0,0
12,10000014,True,False,805,0,0,0
12,10000015,True,True,1462,1126,9,0
12,10000016,True,True,1400,760,2,0
12,10000017,True,False,1498,0,0,0
12,10000018,True,False,1065,0,0,0
12,10000019,True,False,1255,0,0,0
13,10000000,True,True,1508,1043,4,0
13,10000001,True,False,988,0,0,0
13,10000002,True,False,852,0,0,0
13,10000003,True,False,1369,0,0,0
13,10000004,True,False,1152,0,0,0
13,10000005,True,True,1501,1045,6,0
13,10000006,True,False,994,0,0,0
13,10000007,True,True,936,625,8,0
13,10000008,True,True,1188,0,0,0
13,10000009,True,True,1457,1044,7,0
13,10000010,True,True,1109,755,11,0
13,10000011,True,False,1179,0,0,0
13,10000012,True,False,1136,0,0,0
13,10000013,True,True,819,0,0,0
13,10000014,True,False,805,0,0,0
13,10000015,True,True,1491,994,10,0
13,10000016,True,True,1428,954,3,0
13,10000017,True,False,1498,0,0,0
13,10000018,True,False,1065,0,0,0
13,10000019,True,False,1255,0,0,0
14,10000000,True,True,1538,989,5,0
14,10000001,True,False,988,0,0,0
14,10000002,True,False,852,0,0,0
14,10000003,True,False,1369,0,0,0
14,10000004,True,False,1152,0,0,0
14,10000005,True,True,1531,1037,7,0
14,10000006,True,False,994,0,0,0
14,10000007,True,True,945,642,9,0
14,10000008,True,True,1211,442,1,0
14,10000009,True,True,1500,1076,8,0
14,10000010,True,True,1131,860,12,0
14,10000011,True,False,1179,0,0,0
14,10000012,True,False,1136,0,0,0
14,10000013,True,True,835,293,1,0
14,10000014,True,False,805,0,0,0
14,10000015,True,True,1505,1129,11,0
14,10000016,True,True,1442,946,4,0
14,10000017,True,False,1498,0,0,0
14,10000018,True,False,1065,0,0,0
14,10000019,True,False,1255,0,0,0
15,10000000,True,True,1568,1203,6,0
15,10000001,True,False,988,0,0,0
15,10000002,True,False,852,0,0,0
15,10000003,True,False,1369,0,0,0
15,10000004,True,False,1152,0,0,0
15,10000005,True,True,1576,1145,8,0
15,10000006,True,False,994,0,0,0
15,10000007,True,True,963,652,10,0
15,10000008,True,True,1235,565,2,0
15,10000009,True,True,1515,1143,9,0
15,10000010,True,True,1142,793,13,0
15,10000011,True,False,1179,0,0,0
15,10000012,True,True,1136,0,0,0
15,10000013,True,True,860,458,2,0
15,10000014,True,False,805,0,0,0
15,10000015,True,True,1535,1186,12,0
15,10000016,True,True,1485,1106,5,0
15,10000017,True,False,1498,0,0,0
15,10000018,True,False,1065,0,0,0
15,10000019,True,False,1255,0,0,0
16,10000000,True,True,1599,1093,7,0
16,10000001,True,False,988,0,0,0
16,10000002,True,False,852,0,0,0
16,10000003,True,False,1369,0,0,0
16,10000004,True,False,1152,0,0,0
16,10000005,True,True,1591,1279,9,0
16,10000006,True,False,994,0,0,0
16,10000007,True,True,972,769,11,0
16,10000008,True,True,1272,711,3,0
16,10000009,True,True,1530,1023,10,0
16,10000010,True,False,1153,843,14,0
16,10000011,True,False,1179,0,0,0
16,10000012,True,True,1158,385,1,0
16,10000013,True,True,868,545,3,0
16,10000014,True,False,805,0,0,0
16,10000015,True,True,1581,1196,13,0
16,10000016,True,True,1529,1143,6,0
16,10000017,True,False,1498,0,0,0
16,10000018,True,False,1065,0,0,0
16,10000019,True,False,1255,0,0,0
17,10000000,True,True,1614,1106,8,0
17,10000001,True,False,988,0,0,0
17,10000002,True,False,852,0,0,0
17,10000003,True,False,1369,0,0,0
17,10000004,True,False,1152,0,0,0
17,10000005,True,True,1622,1110,10,0
17,10000006,True,False,994,0,0,0
17,10000007,True,True,991,694,12,0
17,10000008,True,True,1284,715,4,0
17,10000009,True,True,1575,1043,11,0
17,10000010,True,False,1153,843,0,0
17,10000011,True,False,1179,0,0,0
17,10000012,True,True,1181,551,2,0
17,10000013,True,True,894,600,4,0
17,10000014,True,False,805,0,0,0
17,10000015,True,False,1596,1043,14,0
17,10000016,True,True,1559,1099,7,0
17,10000017,True,False,1498,0,0,0
17,10000018,True,False,1065,0,0,0
17,10000019,True,False,1255,0,0,0
18,10000000,True,True,1630,1183,9,0
18,10000001,True,False,988,0,0,0
18,10000002,True,True,852,0,0,0
18,10000003,True,False,1369,0,0,0
18,10000004,True,False,1152,0,0,0
18,10000005,True,True,1638,1253,11,0
18,10000006,True,False,994,0,0,0
18,10000007,True,True,1010,741,13,0
18,10000008,True,True,1322,900,5,0
18,10000009,True,True,1606,1064,12,0
18,10000010,True,False,1153,843,0,0
18,10000011,True,False,1179,0,0,0
18,10000012,True,True,1216,691,3,0
18,10000013,True,True,902,693,5,0
18,10000014,True,False,805,0,0,0
18,10000015,True,False,1596,1043,0,0
18,10000016,True,True,1574,1100,8,0
18,10000017,True,False,1498,0,0,0
18,10000018,True,False,1065,0,0,0
18,10000019,True,False,1255,0,0,0
19,10000000,True,True,1646,1277,10,0
19,10000001,True,False,988,0,0,0
19,10000002,True,True,877,264,1,0
19,10000003,True,False,1369,0,0,0
19,10000004,True,False,1152,0,0,0
19,10000005,True,True,1654,1082,12,0
19,10000006,True,False,994,0,0,0
19,10000007,True,False,1040,660,14,0
19,10000008,True,True,1335,863,6,0
19,10000009,True,True,1622,966,13,0
19,10000010,True,False,1153,843,0,0
19,10000011,True,False,1179,0,0,0
19,10000012,True,True,1228,729,4,0
19,10000013,True,True,929,667,6,0
19,10000014,True,False,805,0,0,0
19,10000015,True,False,1596,1043,0,0
19,10000016,True,True,1621,1160,9,0
19,10000017,True,False,1498,0,0,0
19,10000018,True,False,1065,0,0,0
19,10000019,True,False,1255,0,0,0
20,10000000,True,True,1662,1295,11,0
20,10000001,True,True,988,0,0,0
20,10000002,True,True,894,443,2,0
20,10000003,True,False,1369,0,0,0
20,10000004,True,False,1152,0,0,0
20,10000005,True,True,1687,1190,13,0
20,10000006,True,False,994,0,0,0
20,10000007,True,True,1040,660,0,0
20,10000008,True,True,1375,1052,7,0
20,10000009,True,False,1638,1117,14,0
20,10000010,True,False,1153,843,0,0
20,10000011,True,False,1179,0,0,0
20,10000012,True,True,1252,709,5,0
20,10000013,True,True,938,619,7,0
20,10000014,True,False,805,0,0,0
20,10000015,True,False,1596,1043,0,0
20,10000016,True,True,1653,1186,10,0
20,10000017,True,False,1498,0,0,0
20,10000018,True,False,1065,0,0,0
20,10000019,True,False,1255,0,0,0
21,10000000,True,True,1678,1149,12,0
21,10000001,True,True,1017,396,1,0
21,10000002,True,True,911,546,3,0
21,10000003,True,False,1369,0,0,0
21,10000004,True,False,1152,0,0,0
21,10000005,True,True,1737,1248,14,0
21,10000006,True,False,994,0,0,0
21,10000007,True,True,1071,621,1,0
21,10000008,True,True,1388,1106,8,0
21,10000009,True,False,1638,1117,0,0
21,10000010,True,False,1153,843,0,0
21,10000011,True,False,1179,0,0,0
21,10000012,True,True,1277,892,6,0
21,10000013,True,True,966,733,8,0
21,10000014,True,False,805,0,0,0
21,10000015,True,False,1596,1043,0,0
21,10000016,True,True,1702,1082,11,0
21,10000017,True,False,1498,0,0,0
21,10000018,True,False,1065,0,0,0
21,10000019,True,False,1255,0,0,0
22,10000000,True,True,1728,1155,13,0
22,10000001,True,True,1037,589,2,0
22,10000002,True,True,938,619,4,0
22,10000003,True,False,1369,0,0,0
22,10000004,True,True,1152,0,0,0
22,10000005,True,False,1771,1161,15,0
22,10000006,True,False,994,0,0,0
22,10000007,True,True,1081,664,2,0
22,10000008,True,True,1429,1161,9,0
22,10000009,True,False,1638,1117,0,0
22,10000010,True,False,1153,843,0,0
22,10000011,True,False,1179,0,0,0
22,10000012,True,True,1315,983,7,0
22,10000013,True,True,975,712,9,0
22,10000014,True,False,805,0,0,0
22,10000015,True,False,1596,1043,0,0
22,10000016,True,True,1753,1317,12,0
22,10000017,True,False,1498,0,0,0
22,10000018,True,False,1065,0,0,0
22,10000019,True,False,1255,0,0,0
23,10000000,True,False,1779,1062,14,0
23,10000001,True,True,1068,644,3,0
23,10000002,True,True,947,712,5,0
23,10000003,True,False,1369,0,0,0
23,10000004,True,True,1175,431,1,0
23,10000005,True,False,1771,1161,0,0
23,10000006,True,False,994,0,0,0
23,10000007,True,True,1113,666,3,0
23,10000008,True,True,1471,1010,10,0
23,10000009,True,True,1638,1117,0,0
23,10000010,True,False,1153,843,0,0
23,10000011,True,False,1179,0,0,0
23,10000012,True,True,1341,1022,8,0
23,10000013,True,True,984,791,10,0
23,10000014,True,False,805,0,0,0
23,10000015,True,False,1596,1043,0,0
23,10000016,True,True,1805,1279,13,0
23,10000017,True,False,1498,0,0,0
23,10000018,True,True,1065,0,0,0
23,10000019,True,False,1255,0,0,0
24,10000000,True,False,1779,1062,0,0
24,10000001,True,True,1100,712,4,0
24,10000002,True,True,965,681,6,0
24,10000003,True,False,1369,0,0,0
24,10000004,True,True,1186,710,2,0
24,10000005,True,False,1771,1161,0,0
24,10000006,True,True,994,0,0,0
24,10000007,True,True,1135,772,4,0
24,10000008,True,True,1485,933,11,0
24,10000009,True,True,1670,1066,1,0
24,10000010,True,False,1153,843,0,0
24,10000011,True,False,1179,0,0,0
24,10000012,True,True,1381,944,9,0
24,10000013,True,True,1013,702,11,0
24,10000014,True,False,805,0,0,0
24,10000015,True,False,1596,1043,0,0
24,10000016,True,True,1859,1419,14,0
24,10000017,True,False,1498,0,0,0
24,10000018,True,True,1086,400,1,0
24,10000019,True,False,1255,0,0,0
25,10000000,True,False,1779,1062,0,0
25,10000001,True,True,1111,684,5,0
25,10000002,True,True,974,666,7,0
25,10000003,True,False,1369,0,0,0
25,10000004,True,True,1197,743,3,0
25,10000005,True,False,1771,1161,0,0
25,10000006,True,True,1023,324,1,0
25,10000007,True,True,1157,834,5,0
25,10000008,True,True,1529,1113,12,0
25,10000009,True,True,1703,1224,2,0
25,10000010,True,False,1153,843,0,0
25,10000011,True,False,1179,0,0,0
25,10000012,True,True,1422,1078,10,0
25,10000013,True,True,1023,785,12,0
25,10000014,True,False,805,0,0,0
25,10000015,True,False,1596,1043,0,0
25,10000016,True,True,1877,1223,15,0
25,10000017,True,False,1498,0,0,0
25,10000018,True,True,1096,605,2,0
25,10000019,True,False,1255,0,0,0
26,10000000,True,False,1779,1062,0,0
26,10000001,True,True,1122,757,6,0
26,10000002,True,True,1003,719,8,0
26,10000003,True,False,1369,0,0,0
26,10000004,True,True,1208,772,4,0
26,10000005,True,False,1771,1161,0,0
26,10000006,True,True,1053,527,2,0
26,10000007,True,True,1180,805,6,0
26,10000008,True,True,1559,1158,13,0
26,10000009,True,True,1720,1077,3,0
26,10000010,True,False,1153,843,0,0
26,10000011,True,False,1179,0,0,0
26,10000012,True,True,1450,1163,11,0
26,10000013,True,True,1053,780,13,0
26,10000014,True,False,805,0,0,0
26,10000015,True,False,1596,1043,0,0
26,10000016,True,False,1914,1398,16,0
26,10000017,True,False,1498,0,0,0
26,10000018,True,True,1106,711,3,0
26,10000019,True,False,1255,0,0,0
27,10000000,True,False,1779,1062,0,0
27,10000001,True,True,1144,835,7,0
27,10000002,True,True,1033,827,9,0
27,10000003,True,False,1369,0,0,0
27,10000004,True,True,1220,881,5,0
27,10000005,True,False,1771,1161,0,0
27,10000006,True,True,1074,722,3,0
27,10000007,True,True,1203,888,7,0
27,10000008,True,False,1605,1119,14,0
27,10000009,True,True,1754,1136,4,0
27,10000010,True,False,1153,843,0,0
27,10000011,True,False,1179,0,0,0
27,10000012,True,True,1464,990,12,0
27,10000013,True,False,1074,711,14,0
27,10000014,True,False,805,0,0,0
27,10000015,True,False,1596,1043,0,0
27,10000016,True,False,1914,1398,0,0
27,10000017,True,False,1498,0,0,0
27,10000018,True,True,1117,853,4,0
27,10000019,True,False,1255,0,0,0
28,10000000,True,False,1779,1062,0,0
28,10000001,True,True,1155,777,8,0
28,10000002,True,True,1053,865,10,0
28,10000003,True,False,1369,0,0,0
28,10000004,True,True,1256,905,6,0
28,10000005,True,False,1771,1161,0,0
28,10000006,True,True,1106,728,4,0
28,10000007,True,True,1239,788,8,0
28,10000008,True,False,1605,1119,0,0
28,10000009,True,True,1806,1212,5,0
28,10000010,True,False,1153,843,0,0
28,10000011,True,False,1179,0,0,0
28,10000012,True,True,1493,1015,13,0
28,10000013,True,False,1074,711,0,0
28,10000014,True,False,805,0,0,0
28,10000015,True,False,1596,1043,0,0
28,10000016,True,False,1914,1398,0,0
28,10000017,True,False,1498,0,0,0
28,10000018,True,True,1128,797,5,0
28,10000019,True,False,1255,0,0,0
29,10000000,True,False,1779,1062,0,0
29,10000001,True,True,1166,872,9,0
29,10000002,True,True,1074,765,11,0
29,10000003,True,False,1369,0,0,0
29,10000004,True,True,1281,912,7,0
29,10000005,True,False,1771,1161,0,0
29,10000006,True,True,1128,778,5,0
29,10000007,True,True,1263,792,9,0
29,10000008,True,False,1605,1119,0,0
29,10000009,True,True,1842,1156,6,0
29,10000010,True,False,1153,843,0,0
29,10000011,True,False,1179,0,0,0
29,10000012,True,False,1537,1141,14,0
29,10000013,True,False,1074,711,0,0
29,10000014,True,False,805,0,0,0
29,10000015,True,False,1596,1043,0,0
29,10000016,True,False,1914,1398,0,0
29,10000017,True,False,1498,0,0,0
29,10000018,True,True,1150,729,6,0
29,10000019,True,False,1255,0,0,0
30,10000000,True,False,1779,1062,0,0
30,10000001,True,True,1200,837,10,0
30,10000002,True,True,1106,707,12,0
30,10000003,True,True,1369,0,0,0
30,10000004,True,True,1306,927,8,0
30,10000005,True,False,1771,1161,0,0
30,10000006,True,True,1150,720,6,0
30,10000007,True,True,1300,770,10,0
30,10000008,True,False,1605,1119,0,0
30,10000009,True,True,1878,1210,7,0
30,10000010,True,False,1153,843,0,0
30,10000011,True,False,1179,0,0,0
30,10000012,True,False,1537,1141,0,0
30,10000013,True,False,1074,711,0,0
30,10000014,True,False,805,0,0,0
30,10000015,True,False,1596,1043,0,0
30,10000016,True,False,1914,1398,0,0
30,10000017,True,False,1498,0,0,0
30,10000018,True,True,1184,862,7,0
30,10000019,True,False,1255,0,0,0
31,10000000,True,False,1779,1062,0,0
31,10000001,True,True,1236,886,11,0
31,10000002,True,True,1139,797,13,0
31,10000003,True,True,1396,456,1,0
31,10000004,True,True,1345,937,9,0
31,10000005,True,False,1771,1161,0,0
31,10000006,True,True,1161,804,7,0
31,10000007,True,True,1339,750,11,0
31,10000008,True,False,1605,1119,0,0
31,10000009,True,True,1896,1221,8,0
31,10000010,True,False,1153,843,0,0
31,10000011,True,True,1179,0,0,0
31,10000012,True,False,1537,1141,0,0
31,10000013,True,False,1074,711,0,0
31,10000014,True,False,805,0,0,0
31,10000015,True,False,1596,1043,0,0
31,10000016,True,False,1914,1398,0,0
31,10000017,True,False,1498,0,0,0
31,10000018,True,True,1207,878,8,0
31,10000019,True,False,1255,0,0,0
32,10000000,True,False,1779,1062,0,0
32,10000001,True,True,1260,912,12,0
32,10000002,True,True,1173,761,14,0
32,10000003,True,True,1409,655,2,0
32,10000004,True,True,1385,934,10,0
32,10000005,True,False,1771,1161,0,0
32,10000006,True,True,1172,910,8,0
32,10000007,True,True,1352,802,12,0
32,10000008,True,True,1605,1119,0,0
32,10000009,True,True,1933,1334,9,0
32,10000010,True,False,1153,843,0,0
32,10000011,True,True,1202,456,1,0
32,10000012,True,False,1537,1141,0,0
32,10000013,True,False,1074,711,0,0
32,10000014,True,False,805,0,0,0
32,10000015,True,False,1596,1043,0,0
32,10000016,True,False,1914,1398,0,0
32,10000017,True,False,1498,0,0,0
32,10000018,True,True,1219,947,9,0
32,10000019,True,False,1255,0,0,0
33,10000000,True,False,1779,1062,0,0
33,10000001,True,True,1297,978,13,0
33,10000002,True,True,1196,804,15,0
33,10000003,True,True,1437,895,3,0
33,10000004,True,True,1398,888,11,0
33,10000005,True,False,1771,1161,0,0
33,10000006,True,True,1183,844,9,0
33,10000007,True,True,1365,768,13,0
33,10000008,True,True,1637,1092,1,0
33,10000009,True,True,1990,1241,10,0
33,10000010,True,False,1153,843,0,0
33,10000011,True,True,1214,691,2,0
33,10000012,True,False,1537,1141,0,0
33,10000013,True,False,1074,711,0,0
33,10000014,True,False,805,0,0,0
33,10000015,True,False,1596,1043,0,0
33,10000016,True,False,1914,1398,0,0
33,10000017,True,False,1498,0,0,0
33,10000018,True,True,1255,918,10,0
33,10000019,True,False,1255,0,0,0
34,10000000,True,False,1779,1062,0,0
34,10000001,True,True,1335,852,14,0
34,10000002,True,True,1219,917,16,0
34,10000003,True,True,1480,978,4,0
34,10000004,True,True,1439,902,12,0
34,10000005,True,False,1771,1161,0,0
34,10000006,True,True,1206,819,10,0
34,10000007,True,False,1405,822,14,0
34,10000008,True,True,1669,1131,2,0
34,10000009,True,True,2049,1219,11,0
34,10000010,True,False,1153,843,0,0
34,10000011,True,True,1250,885,3,0
34,10000012,True,False,1537,1141,0,0
34,10000013,True,False,1074,711,0,0
34,10000014,True,False,805,0,0,0
34,10000015,True,False,1596,1043,0,0
34,10000016,True,False,1914,1398,0,0
34,10000017,True,False,1498,0,0,0
34,10000018,True,True,1292,1048,11,0
34,10000019,True,False,1255,0,0,0
35,10000000,True,False,1779,1062,0,0
35,10000001,True,True,1375,994,15,0
35,10000002,True,True,1243,857,17,0
35,10000003,True,True,1494,1054,5,0
35,10000004,True,True,1453,1029,13,0
35,10000005,True,False,1771,1161,0,0
35,10000006,True,True,1242,851,11,0
35,10000007,True,False,1405,822,0,0
35,10000008,True,True,1719,1241,3,0
35,10000009,True,True,2089,1309,12,0
35,10000010,True,False,1153,843,0,0
35,10000011,True,True,1287,965,4,0
35,10000012,True,False,1537,1141,0,0
35,10000013,True,False,1074,711,0,0
35,10000014,True,False,805,0,0,0
35,10000015,True,False,1596,1043,0,0
35,10000016,True,False,1914,1398,0,0
