tick,agent_id,agent_type,x,y,rank
1,20000046,4,13,37,1
1,20000047,4,16,37,1
1,20000048,4,12,25,1
1,20000049,4,18,20,1
1,20000050,4,16,32,1
1,20000051,4,8,36,1
1,20000052,4,19,25,1
1,20000053,4,9,24,1
1,20000054,4,13,32,1
1,20000055,4,16,36,1
1,20000056,4,19,39,1
1,20000057,4,0,29,1
1,20000058,4,6,37,1
1,20000059,4,15,28,1
1,20000060,4,11,31,1
1,20000061,4,17,20,1
1,20000062,4,9,33,1
1,20000063,4,9,38,1
1,20000064,4,19,36,1
1,20000065,4,9,37,1
1,20000066,4,5,24,1
1,20000067,4,13,35,1
1,20000068,4,17,24,1
1,20000069,4,17,36,1
1,20000070,4,6,21,1
1,20000071,4,15,36,1
1,20000072,4,9,23,1
1,20000073,4,2,27,1
1,20000074,4,15,26,1
1,20000075,4,0,33,1
1,20000076,4,14,23,1
1,20000077,4,11,27,1
1,20000078,4,10,20,1
1,20000079,4,11,28,1
1,20000080,4,12,22,1
1,20000081,4,15,27,1
1,20000082,4,0,34,1
1,20000083,4,10,33,1
1,20000084,4,3,28,1
1,20000085,4,17,37,1
1,20000086,4,6,32,1
1,20000087,4,1,36,1
1,30000000,0,25,2,2
1,30000001,0,28,16,2
1,30000002,0,21,6,2
1,30000003,0,36,14,2
1,30000004,0,23,17,2
1,30000005,0,31,5,2
1,30000006,0,33,6,2
1,30000007,0,25,3,2
1,30000008,0,28,13,2
1,30000009,0,38,8,2
1,30000010,0,32,18,2
1,30000011,0,37,13,2
1,30000012,0,27,0,2
1,30000013,0,26,6,2
1,30000014,0,30,13,2
1,30000015,0,37,15,2
1,30000016,0,26,18,2
1,30000017,0,24,9,2
1,30000018,0,33,14,2
1,30000019,0,29,2,2
1,30000020,3,39,4,2
1,30000021,3,28,17,2
1,30000022,3,29,16,2
1,30000023,3,31,12,2
1,30000024,3,29,8,2
1,30000025,3,31,10,2
1,30000026,3,35,11,2
1,30000027,3,29,17,2
1,30000028,3,24,8,2
1,30000029,3,28,12,2
1,30000030,3,21,16,2
1,30000031,3,28,9,2
1,30000032,3,21,13,2
1,30000033,3,32,6,2
1,30000034,3,35,10,2
1,30000035,3,21,4,2
