tick,x,y,rank,agent_type
4,17,3,0,4
4,15,18,0,4
4,0,7,0,4
4,12,2,0,4
4,10,12,0,4
4,9,19,0,4
4,3,9,0,4
4,0,8,0,4
4,18,12,0,4
4,6,19,0,4
4,0,9,0,4
4,16,15,0,4
4,8,10,0,4
4,4,15,0,4
4,1,8,0,4
4,5,14,0,4
4,14,14,0,4
4,18,18,0,4
4,3,2,0,4
4,2,14,0,4
4,19,18,0,4
4,2,17,0,4
4,1,19,0,4
4,7,2,0,4
4,10,19,0,4
4,4,9,0,4
4,17,16,0,4
4,2,18,0,4
4,19,5,0,4
4,13,8,0,4
4,13,0,0,4
4,16,14,0,4
4,3,12,0,4
4,10,0,0,4
5,12,10,0,0
5,6,0,0,0
5,0,3,0,0
5,12,18,0,0
5,12,19,0,0
5,11,18,0,0
5,16,13,0,0
5,7,17,0,0
5,0,15,0,0
5,16,3,0,0
5,17,0,0,0
5,1,5,0,0
5,8,8,0,0
5,0,2,0,0
5,13,10,0,0
5,5,12,0,0
5,7,9,0,0
5,16,19,0,0
5,13,19,0,0
5,14,7,0,0
5,17,2,0,3
5,11,14,0,3
5,16,10,0,3
5,7,6,0,3
5,8,9,0,3
5,14,17,0,3
5,1,18,0,3
5,10,7,0,3
5,13,11,0,3
5,5,6,0,3
5,14,11,0,3
5,10,6,0,3
5,15,7,0,3
5,6,17,0,3
5,5,4,0,3
5,14,12,0,3
5,0,1,0,4
5,7,16,0,4
5,8,15,0,4
5,6,4,0,4
5,15,17,0,4
5,1,1,0,4
5,13,6,0,4
5,11,3,0,4
5,17,9,0,4
5,17,15,0,4
5,14,4,0,4
5,15,1,0,4
5,11,8,0,4
5,19,3,0,4
5,18,1,0,4
5,12,11,0,4
5,17,5,0,4
5,18,13,0,4
5,17,3,0,4
5,15,18,0,4
5,0,7,0,4
5,12,2,0,4
5,10,12,0,4
5,9,19,0,4
5,3,9,0,4
5,0,8,0,4
5,18,12,0,4
5,6,19,0,4
5,0,9,0,4
5,16,15,0,4
5,8,10,0,4
5,4,15,0,4
5,1,8,0,4
5,5,14,0,4
5,14,14,0,4
5,18,18,0,4
5,3,2,0,4
5,2,14,0,4
5,19,18,0,4
5,2,17,0,4
5,1,19,0,4
5,7,2,0,4
5,10,19,0,4
5,4,9,0,4
5,17,16,0,4
5,2,18,0,4
5,19,5,0,4
5,13,8,0,4
5,13,0,0,4
5,16,14,0,4
5,3,12,0,4
5,10,0,0,4
6,12,10,0,0
6,6,0,0,0
6,0,3,0,0
6,12,18,0,0
6,12,19,0,0
6,11,18,0,0
6,16,13,0,0
6,7,17,0,0
6,0,15,0,0
6,16,3,0,0
6,17,0,0,0
6,1,5,0,0
6,8,8,0,0
6,0,2,0,0
6,13,10,0,0
6,5,12,0,0
6,7,9,0,0
6,16,19,0,0
6,13,19,0,0
6,14,7,0,0
6,17,2,0,3
6,11,14,0,3
6,16,10,0,3
6,7,6,0,3
6,8,9,0,3
6,14,17,0,3
6,1,18,0,3
6,10,7,0,3
6,13,11,0,3
6,5,6,0,3
6,14,11,0,3
6,10,6,0,3
6,15,7,0,3
6,6,17,0,3
6,5,4,0,3
6,14,12,0,3
6,0,1,0,4
6,7,16,0,4
6,8,15,0,4
6,6,4,0,4
6,15,17,0,4
6,1,1,0,4
6,13,6,0,4
6,11,3,0,4
6,17,9,0,4
6,17,15,0,4
6,14,4,0,4
6,15,1,0,4
6,11,8,0,4
6,19,3,0,4
6,18,1,0,4
6,12,11,0,4
6,17,5,0,4
6,18,13,0,4
6,17,3,0,4
6,15,18,0,4
6,0,7,0,4
6,12,2,0,4
6,10,12,0,4
6,9,19,0,4
6,3,9,0,4
6,0,8,0,4
6,18,12,0,4
6,6,19,0,4
6,0,9,0,4
6,16,15,0,4
6,8,10,0,4
6,4,15,0,4
6,1,8,0,4
6,5,14,0,4
6,14,14,0,4
6,18,18,0,4
6,3,2,0,4
6,2,14,0,4
6,19,18,0,4
6,2,17,0,4
6,1,19,0,4
6,7,2,0,4
6,10,19,0,4
6,4,9,0,4
6,17,16,0,4
6,2,18,0,4
6,19,5,0,4
6,13,8,0,4
6,13,0,0,4
6,16,14,0,4
6,3,12,0,4
6,10,0,0,4
7,12,10,0,0
7,6,0,0,0
7,0,3,0,0
7,12,18,0,0
7,12,19,0,0
7,11,18,0,0
7,16,13,0,0
7,7,17,0,0
7,0,15,0,0
7,16,3,0,0
7,17,0,0,0
7,1,5,0,0
7,8,8,0,0
7,0,2,0,0
7,13,10,0,0
7,5,12,0,0
7,7,9,0,0
7,16,19,0,0
7,13,19,0,0
7,14,7,0,0
7,17,2,0,3
7,11,14,0,3
7,16,10,0,3
7,7,6,0,3
7,8,9,0,3
7,14,17,0,3
7,1,18,0,3
7,10,7,0,3
7,13,11,0,3
7,5,6,0,3
7,14,11,0,3
7,10,6,0,3
7,15,7,0,3
7,6,17,0,3
7,5,4,0,3
7,14,12,0,3
7,0,1,0,4
7,7,16,0,4
7,8,15,0,4
7,6,4,0,4
7,15,17,0,4
7,1,1,0,4
7,13,6,0,4
7,11,3,0,4
7,17,9,0,4
7,17,15,0,4
7,14,4,0,4
7,15,1,0,4
7,11,8,0,4
7,19,3,0,4
7,18,1,0,4
7,12,11,0,4
7,17,5,0,4
7,18,13,0,4
7,17,3,0,4
7,15,18,0,4
7,0,7,0,4
7,12,2,0,4
7,10,12,0,4
7,9,19,0,4
7,3,9,0,4
7,0,8,0,4
7,18,12,0,4
7,6,19,0,4
7,0,9,0,4
7,16,15,0,4
7,8,10,0,4
7,4,15,0,4
7,1,8,0,4
7,5,14,0,4
7,14,14,0,4
7,18,18,0,4
7,3,2,0,4
7,2,14,0,4
7,19,18,0,4
7,2,17,0,4
7,1,19,0,4
7,7,2,0,4
7,10,19,0,4
7,4,9,0,4
7,17,16,0,4
7,2,18,0,4
7,19,5,0,4
7,13,8,0,4
7,13,0,0,4
7,16,14,0,4
7,3,12,0,4
7,10,0,0,4
8,12,10,0,0
8,6,0,0,0
8,0,3,0,0
8,12,18,0,0
8,12,19,0,0
8,11,18,0,0
8,16,13,0,0
8,7,17,0,0
8,0,15,0,0
8,16,3,0,0
8,17,0,0,0
8,1,5,0,0
8,8,8,0,0
