tick,agent_id,agent_type,x,y,rank
2,10000186,5,19,9,0
2,10000187,5,0,3,0
1,20000088,5,5,26,1
1,20000089,5,19,30,1
1,20000090,5,17,23,1
1,20000091,5,15,39,1
1,20000092,5,1,24,1
1,20000093,5,2,25,1
1,20000094,5,6,21,1
1,20000095,5,17,25,1
1,20000096,5,18,35,1
1,20000097,5,3,33,1
1,20000098,5,15,22,1
1,20000099,5,2,27,1
1,20000100,5,1,28,1
1,20000101,5,9,33,1
1,20000102,5,11,29,1
1,20000103,5,4,31,1
1,20000104,5,9,36,1
1,20000105,5,13,34,1
1,20000106,5,11,27,1
1,20000107,5,5,28,1
1,20000108,5,2,22,1
1,20000109,5,0,24,1
1,20000110,5,8,25,1
1,20000111,5,3,26,1
1,20000112,5,14,26,1
1,20000113,5,18,31,1
1,20000114,5,2,39,1
1,20000115,5,17,35,1
1,20000116,5,3,35,1
1,20000117,5,14,35,1
1,20000118,5,14,31,1
1,20000119,5,6,38,1
1,20000120,5,19,33,1
1,20000121,5,7,30,1
1,20000122,5,11,21,1
1,20000123,5,1,29,1
1,20000124,5,11,24,1
1,20000125,5,5,22,1
1,20000126,5,18,30,1
1,20000127,5,5,35,1
1,20000128,5,19,25,1
1,20000129,5,15,30,1
1,20000130,5,18,22,1
1,20000131,5,1,39,1
1,20000132,5,9,28,1
1,20000133,5,14,25,1
1,20000134,5,12,36,1
1,20000135,5,16,22,1
1,20000136,5,19,34,1
1,20000137,5,13,23,1
1,20000138,5,18,27,1
1,20000139,5,18,24,1
1,20000140,5,1,36,1
1,20000141,5,19,39,1
1,20000142,5,0,32,1
1,20000143,5,16,33,1
1,20000144,5,12,30,1
1,20000145,5,10,26,1
1,20000146,5,13,38,1
1,20000147,5,19,24,1
1,20000148,5,0,39,1
1,20000149,5,13,35,1
1,20000150,5,16,27,1
1,20000151,5,17,32,1
1,20000152,5,12,27,1
1,20000153,5,6,27,1
1,20000154,5,14,30,1
1,20000155,5,0,20,1
1,20000156,5,3,29,1
1,20000157,5,11,39,1
1,20000158,5,15,25,1
1,20000159,5,10,34,1
1,20000160,5,17,28,1
1,20000161,5,14,24,1
1,20000162,5,9,38,1
1,20000163,5,7,20,1
1,20000164,5,15,26,1
1,20000165,5,8,39,1
1,20000166,5,7,25,1
1,20000167,5,4,36,1
1,20000168,5,4,32,1
1,20000169,5,14,32,1
1,20000170,5,8,27,1
1,20000171,5,2,28,1
1,20000172,5,9,27,1
1,20000173,5,19,29,1
1,20000174,5,7,24,1
1,20000175,5,2,31,1
1,20000176,5,11,32,1
1,20000177,5,5,37,1
1,20000178,5,3,34,1
1,20000179,5,1,32,1
1,20000180,5,5,25,1
1,20000181,5,6,35,1
1,20000182,5,10,21,1
1,20000183,5,17,39,1
1,20000184,5,10,35,1
1,20000185,5,1,30,1
1,20000186,5,16,32,1
1,20000187,5,11,20,1
2,20000088,5,5,26,1
2,20000089,5,19,30,1
2,20000090,5,17,23,1
2,20000091,5,15,39,1
2,20000092,5,1,24,1
2,20000093,5,2,25,1
2,20000094,5,6,21,1
2,20000095,5,17,25,1
2,20000096,5,18,35,1
2,20000097,5,3,33,1
2,20000098,5,15,22,1
2,20000099,5,2,27,1
2,20000100,5,1,28,1
2,20000101,5,9,33,1
2,20000102,5,11,29,1
2,20000103,5,4,31,1
2,20000104,5,9,36,1
2,20000105,5,13,34,1
2,20000106,5,11,27,1
2,20000107,5,5,28,1
2,20000108,5,2,22,1
2,20000109,5,0,24,1
2,20000110,5,8,25,1
2,20000111,5,3,26,1
2,20000112,5,14,26,1
2,20000113,5,18,31,1
2,20000114,5,2,39,1
2,20000115,5,17,35,1
2,20000116,5,3,35,1
2,20000117,5,14,35,1
2,20000118,5,14,31,1
2,20000119,5,6,38,1
2,20000120,5,19,33,1
2,20000121,5,7,30,1
2,20000122,5,11,21,1
2,20000123,5,1,29,1
2,20000124,5,11,24,1
2,20000125,5,5,22,1
2,20000126,5,18,30,1
2,20000127,5,5,35,1
2,20000128,5,19,25,1
2,20000129,5,15,30,1
2,20000130,5,18,22,1
2,20000131,5,1,39,1
2,20000132,5,9,28,1
2,20000133,5,14,25,1
2,20000134,5,12,36,1
2,20000135,5,16,22,1
2,20000136,5,19,34,1
2,20000137,5,13,23,1
2,20000138,5,18,27,1
2,20000139,5,18,24,1
2,20000140,5,1,36,1
2,20000141,5,19,39,1
2,20000142,5,0,32,1
2,20000143,5,16,33,1
2,20000144,5,12,30,1
2,20000145,5,10,26,1
2,20000146,5,13,38,1
2,20000147,5,19,24,1
2,20000148,5,0,39,1
2,20000149,5,13,35,1
2,20000150,5,16,27,1
2,20000151,5,17,32,1
2,20000152,5,12,27,1
2,20000153,5,6,27,1
2,20000154,5,14,30,1
2,20000155,5,0,20,1
