agent_id,agent_type_initial,x_initial,y_initial,agent_type_updated,x_updated,y_updated,status
30000009,,,,0,38,8,NEW
30000010,,,,0,32,18,NEW
30000011,,,,0,37,13,NEW
30000012,,,,0,27,0,NEW
30000013,,,,0,26,6,NEW
30000014,,,,0,30,13,NEW
30000015,,,,0,37,15,NEW
30000016,,,,0,26,18,NEW
30000017,,,,0,24,9,NEW
30000018,,,,0,33,14,NEW
30000019,,,,0,29,2,NEW
30000020,,,,3,39,4,NEW
30000021,,,,3,28,17,NEW
30000022,,,,3,29,16,NEW
30000023,,,,3,31,12,NEW
30000024,,,,3,29,8,NEW
30000025,,,,3,31,10,NEW
30000026,,,,3,35,11,NEW
30000027,,,,3,29,17,NEW
30000028,,,,3,24,8,NEW
30000029,,,,3,28,12,NEW
30000030,,,,3,21,16,NEW
30000031,,,,3,28,9,NEW
30000032,,,,3,21,13,NEW
30000033,,,,3,32,6,NEW
30000034,,,,3,35,10,NEW
30000035,,,,3,21,4,NEW
30000036,,,,4,30,0,NEW
30000037,,,,4,30,14,NEW
30000038,,,,4,31,9,NEW
30000039,,,,4,25,17,NEW
30000040,,,,4,26,16,NEW
30000041,,,,4,28,7,NEW
30000042,,,,4,33,19,NEW
30000043,,,,4,22,15,NEW
30000044,,,,4,35,8,NEW
30000045,,,,4,27,3,NEW
30000046,,,,4,39,3,NEW
30000047,,,,4,29,3,NEW
30000048,,,,4,35,12,NEW
30000049,,,,4,23,2,NEW
30000050,,,,4,21,0,NEW
30000051,,,,4,37,16,NEW
30000052,,,,4,27,1,NEW
30000053,,,,4,25,9,NEW
30000054,,,,4,30,9,NEW
30000055,,,,4,32,12,NEW
30000056,,,,4,32,10,NEW
30000057,,,,4,28,18,NEW
30000058,,,,4,36,15,NEW
30000059,,,,4,21,11,NEW
30000060,,,,4,37,12,NEW
30000061,,,,4,23,10,NEW
30000062,,,,4,30,19,NEW
30000063,,,,4,30,4,NEW
30000064,,,,4,22,13,NEW
30000065,,,,4,39,11,NEW
30000066,,,,4,35,5,NEW
30000067,,,,4,29,18,NEW
30000068,,,,4,25,15,NEW
30000069,,,,4,20,5,NEW
30000070,,,,4,29,0,NEW
30000071,,,,4,32,16,NEW
30000072,,,,4,30,2,NEW
30000073,,,,4,36,1,NEW
30000074,,,,4,27,8,NEW
